conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103163603	CC1=CC=C(C=C1)S(=O)(=O)NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C)/C4=CC=CC=C4C2=O	100.0	94.05	24.94	11.92	0.0	3.52	1.43	0.0	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103159656	CCOC(=O)N1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NS(=O)(=O)C4=CC=C(C=C4)Br	24.68	10.86	18.97	11.22	10.36	5.64	11.41	11.16	2.03	0.69
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103159569	CC\1=NN(C(=O)/C1=C\C2=CC(=C(C=C2)OCC3=CC=CC=C3)OC)C4=CC=CC(=C4)C(=O)O	88.92	100.0	95.19	87.58	25.84	4.23	0.0	11.16	8.12	1.37
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103074372	CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=CC=C2C=C3C(=O)NC(=O)NC3=O	83.12	64.65	33.29	14.49	1.7	0.0	0.68	0.0	2.06	2.77
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103074351	C1=CC=C(C=C1)COC2=CC=CC=C2/C=C/3\C(=O)N(C(=S)S3)CC(=O)O	83.19	70.52	29.69	12.42	7.81	0.0	8.16	2.04	4.13	1.39
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103073997	CCOC1=C(C=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)Cl)N=NC3=C(NC(=S)NC3=O)O)Br	82.86	63.72	11.94	11.22	6.91	4.23	6.42	1.4	2.71	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103060228	CCOC1=C(C(=CC(=C1)/C=N/NC2=C(C=C(C=C2)S(=O)(=O)NC3=CC=CC=C3C(=O)O)[N+](=O)[O-])Cl)O	97.75	66.02	29.09	26.51	15.89	9.86	16.4	6.98	4.06	7.54
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
103050345	CC(=O)N1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-]	58.55	14.25	4.22	4.91	3.45	0.0	0.0	0.0	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99495055	CC\1=NN(C(=O)/C1=C/C2=CC(=C(C=C2)OCC#C)OC)C3=CC=C(C=C3)S(=O)(=O)N	38.62	26.46	26.21	28.47	4.84	0.0	0.71	0.7	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99454607	C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)C(=O)O	82.04	34.27	14.05	18.23	13.13	13.38	11.41	4.88	0.68	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99361055	C1=CC(=C2C(=C1NN)C(=O)NN2)[N+](=O)[O-]	27.03	0.68	9.13	4.91	4.84	1.41	7.84	3.49	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99361001	C1CC(C(=O)C1)C(=S)SC2CC(=O)NC2=O	70.27	53.4	38.71	10.52	2.76	0.0	0.71	2.09	1.35	0.69
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99360901	COC1=C(C=C2C(=C1)CCC(C2=O)Br)OC	20.0	0.0	0.0	0.0	0.0	0.0	2.04	0.0	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99360875	C1CCN(CC1)CC2=CC=C(C(=O)N2)O	67.6	37.66	21.08	4.21	8.98	6.34	0.0	4.19	8.12	3.43
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99360677	CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=C(C=C2)O)O)O.C1=CC=C(C=C1)C(=O)O	59.2	30.54	16.86	8.41	17.27	14.79	13.54	7.67	6.09	8.91
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99360648	C1=CC=C(C=C1)N2C(=O)C(=CC3=CC=CC=C3O)C(=O)N2	78.61	60.26	42.86	23.14	3.45	4.23	0.0	4.88	6.76	1.37
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99360588	CCCCCCCCSC1=CC(=O)C(=C(C1=O)OC)OC	71.77	73.62	75.32	63.39	37.17	0.0	0.0	0.0	0.68	4.8
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99360521	CC1=NN(C(=O)C1=CC2=CC=CC=C2)C3=CC=CC=C3	65.26	47.36	20.37	17.53	0.0	8.45	3.56	5.58	0.0	4.11
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99358710	C1=CC=C(C=C1)CC(C(=O)O)N2C(=O)C=CC2=O	36.41	27.82	35.34	23.84	11.74	2.11	0.0	6.28	8.12	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99358709	C1=CC(=O)N(C1=O)CC(=O)O	33.08	27.82	23.89	44.6	0.0	4.93	0.0	4.88	3.38	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99358477	C1=CC(=CC(=C1)N2C(=O)C=CC2=O)C(=O)O	42.46	45.94	44.97	34.08	0.0	1.41	0.0	0.0	3.38	4.11
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99358454	C1=CC(=CC=C1N=NC2=CC(=O)NC(=N2)N)O	93.78	75.52	42.86	20.34	13.13	11.98	6.42	3.49	1.35	10.97
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99358358	CC(=O)C1=CCC2C1(OC(=O)CC3C2CCC4C3(CCC(C4)OC(=O)C)C)C	28.39	22.39	21.78	18.93	0.0	0.0	0.0	7.67	5.41	4.11
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99358214	C1=CC=C(C=C1)S(=O)(=O)N=C2C=CC(=NS(=O)(=O)C3=CC=CC=C3)C4=CC=CC=C24	81.92	68.4	60.86	51.48	16.64	0.0	0.0	0.0	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99357965	C1C(=NC2=CC=C(C=C2)[N+](=O)[O-])NN(C1=O)C3=C(C=C(C=C3Cl)Cl)Cl	77.04	50.21	26.98	7.01	8.98	1.41	12.83	9.07	8.12	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99357639	C1=CC=C2C(=C1)C=C(C(=C2O)O)[N+](=O)[O-]	86.76	82.24	80.38	67.53	54.78	13.38	9.98	2.09	2.71	1.37
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99357619	C1C2=CC=CC=C2C(=O)C1=CC3=CC=CC=C3[N+](=O)[O-]	28.0	19.83	7.76	13.8	10.53	5.38	6.8	2.72	11.01	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
99356342	CSC1=CC=C(C=C1)NC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	15.63	8.82	9.84	10.52	15.2	2.11	9.27	14.65	4.73	6.86
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
