PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 NormChi2,% Inhibition @ 100 uM,% Inhibition @ 50 uM,% Inhibition @ 25 uM,% Inhibition @ 12.5 uM,% Inhibition @ 6.25 uM,% Inhibition @ 3.13 uM,% Inhibition @ 1.56 uM,% Inhibition @ 0.78 uM,% Inhibition @ 0.39 uM,% Inhibition @ 0.19 uM,Primary Outcome,Primary Screen % Inhibition @ 25 uM,Pilot 10K Screen % Inhibition @ 25 uM Rep 1,Pilot 10K Screen % Inhibition @ 25 uM Rep 2,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,100,50,25,12.5,6.25,3.13,1.56,0.78,0.39,0.19,,,,,
1,844852,647185,Active,65,,,,38.74,,2.75,1.44,4.06,83.13,53,39.27,17.53,2.76,0,2.85,6.28,0,0,Active,43.98,15.15,17.03,verified
2,847157,135417048,Active,58,,,,56.9,,6.78,1.28,5.84,59.07,56.46,26.21,6.31,0,7.04,0,0,0,0,Active,64.65,,,verified
3,848021,650445,Active,57,,,,59.2,,5.13,1.17,3.9,61.74,46.82,32.25,9.12,3.45,0,4.99,0.7,0,4.8,Active,34.69,,,verified
4,848195,650622,Active,71,,,,23.63,,5.03,1.82,14.06,59.13,86.31,66.82,14.02,0,0,0,0,0,0,Active,80.99,,,verified
5,850760,653299,Active,43,,,,95.27,,4.45,3.22,3.94,54.38,8.82,9.13,5.61,3.45,0,0,3.49,2.03,0,Active,29.34,,,verified
6,852322,654937,Active,64,,,,40.79,,6.93,1.2,8.54,84.73,47.16,30,30.43,7.6,4.23,0,6.28,3.38,14.4,Active,46.43,3.66,4.82,verified
7,853098,135401871,Active,60,,,,51.76,,5.09,1.89,6.46,70.34,57.88,14.75,2.1,0,10.57,2.14,2.09,5.41,0,Active,38.55,,,verified
8,856108,657484,Active,59,,,,53.91,,10.02,1,7.55,63.24,53.27,30.28,16.13,3.45,9.16,4.28,12.56,11.5,10.97,Active,46.73,,,verified
9,856201,657576,Active,41,,,>,100,,49.76,0.56,2.63,39.14,30.54,22.48,14.73,6.91,11.98,7.84,2.79,3.38,4.8,Active,33.87,,,verified
10,856503,657862,Active,45,,,,88.67,,7.23,1.77,4.2,56.2,25.11,9.84,2.1,8.98,3.52,0,1.4,7.44,2.06,Active,60.28,,,verified
11,857425,615484,Active,74,,,,17.56,,0.67,1.69,2.41,100,85.97,62.25,36.04,15.89,5.64,4.99,0,1.35,1.37,Active,44.11,,,verified
12,858000,659347,Active,41,,,>,100,,23.77,1.55,3.15,31.72,19.68,0,0,0,4.23,0,0,0,0,Active,87.12,,,verified
13,858060,659416,Active,41,,,,99.3,,7.1,2.23,4.07,49.59,20.53,0,0,0,3.36,2.72,0,2.06,9.01,Active,46.09,,,verified
14,858195,659547,Active,41,,,>,100,,23.63,1.4,8.38,42.27,43.02,0,0,1.38,0,7.13,1.4,5.41,0,Active,55.62,,,verified
15,858892,660197,Active,41,,,>,100,,7.94,1.97,2.1,38.66,13.45,4.23,0,3.74,4.71,0,0,0.69,0,Active,45.17,,,verified
16,859770,3053058,Active,46,,,,86.84,,3.02,3.59,3.21,62.39,12.21,0,4.91,0,0,4.28,6.28,0,0,Active,75.9,,,verified
17,860234,5293426,Active,41,,,>,100,,408.24,0.56,4.09,30,16.29,11.28,11.04,3.74,8.74,4.08,2.04,1.38,9.7,Active,76.54,,,verified
18,860819,662098,Active,67,,,,34.75,,6.58,0.93,8.13,64.08,58.36,58.67,23.84,8.98,3.52,5.7,5.58,4.73,8.23,Active,64.87,,,verified
19,860888,662161,Active,56,,,,61.96,,10.02,1.22,7.38,52.75,58.22,25.71,5.61,0,0,0,0,0,0,Active,48.03,,,verified
20,861865,663095,Active,44,,,,91.92,,3.44,3.78,3.64,57.96,8.82,1.41,7.01,4.84,2.82,1.43,4.88,0,0,Active,31.75,,,verified
21,862769,664003,Active,53,,,,69.74,,4.72,1.61,3.71,60.24,44.17,10.54,5.61,0,0,0,0,2.71,0,Active,32.68,,,verified
22,3713011,236275,Active,41,,,>,100,,2.28,1.97,0.78,42.6,15.58,4.94,1.38,0,0,2.04,0.68,0,0,Active,87.1,,,verified
23,3714579,712660,Active,45,,,,90.8,,1.1,3,0.99,57.06,14.87,0,2.07,0,0,0,0,0,0,Active,53.21,,,verified
24,3716567,2123860,Active,71,,,,23.21,,2.6,1.76,7.29,100,81.5,47.07,27.28,12.43,2.82,4.28,10.46,8.12,11.66,Active,44.96,,,verified
25,3716687,2335498,Active,41,,,>,100,,136.26,0.42,7.61,33.02,33.93,42.3,32.33,19.34,9.16,12.83,2.09,0,5.49,Active,34.24,,,verified
26,4248049,1203912,Active,70,,,,26.28,,3.68,1.62,8.67,100,78.92,34.08,26.3,17.27,10.57,3.56,9.07,6.09,4.8,Active,94.32,,,verified
27,4249298,3243271,Active,60,,,,51.5,,8.03,1.45,8.61,70.6,55.57,16.16,15.43,6.91,0,9.98,9.77,14.2,6.86,Active,29.15,,,verified
28,4249431,3243386,Active,61,,,,50.21,,5.54,1.42,6.04,65.93,59.9,22.57,10.35,0,8.07,2.04,3.4,6.88,1.39,Active,43.07,,,verified
29,4254663,607541,Active,41,,,>,100,,17.35,1.55,2.69,36,13.45,7.76,2.07,1.02,6.05,3.4,0,0,2.08,Active,63.57,,,verified
30,4254995,2190715,Active,76,,,,12.08,,1.12,2.09,6.55,100,95.68,73.35,62.53,9.85,8.74,4.76,0,0,4.85,Active,33.65,,,verified
